generation,population,prop_loci_fixed,mean_alleles_per_locus
0,0,4,4.85
0,1,4,4.85
0,2,4,4.85
0,3,4,4.85
0,4,4,4.85
0,5,4,4.85
0,6,4,4.85
0,7,4,4.85
0,8,4,4.85
0,9,4,4.85
0,10,4,4.85
0,11,4,4.85
0,12,4,4.85
0,13,4,4.85
0,14,4,4.85
0,15,4,4.85
0,16,4,4.85
0,17,4,4.85
0,18,4,4.85
0,19,4,4.86667
100,0,4,4.85
100,1,4,4.73333
100,2,4,4.76667
100,3,4,4.68333
100,4,4,4.85
100,5,4,4.71667
100,6,4,4.81667
100,7,4,4.85
100,8,4,4.83333
100,9,4,4.83333
100,10,4,4.83333
100,11,4,4.85
100,12,4,4.83333
100,13,4,4.86667
100,14,4,4.8
100,15,4,4.85
100,16,4,4.78333
100,17,4,4.76667
100,18,4,4.85
100,19,4,4.66667
200,0,4,4.81667
200,1,4,4.65
200,2,4,4.68333
200,3,4,4.53333
200,4,4,4.83333
200,5,4,4.75
200,6,4,4.68333
200,7,4,4.81667
200,8,4,4.83333
200,9,4,4.73333
200,10,4,4.78333
200,11,4,4.83333
200,12,4,4.73333
200,13,4,4.75
200,14,4,4.63333
200,15,4,4.81667
200,16,4,4.63333
200,17,4,4.61667
200,18,4,4.76667
200,19,4,4.41667
300,0,4,4.7
300,1,4,4.68333
300,2,4,4.73333
300,3,4,4.48333
300,4,4,4.83333
300,5,4,4.66667
300,6,4,4.66667
300,7,4,4.8
300,8,4,4.7
300,9,4,4.65
300,10,4,4.66667
300,11,4,4.76667
300,12,4,4.78333
300,13,4,4.78333
300,14,4,4.66667
300,15,4,4.75
300,16,4,4.6
300,17,4,4.7
300,18,4,4.66667
300,19,4,4.53333
400,0,4,4.56667
400,1,4,4.55
400,2,4,4.63333
400,3,4,4.28333
400,4,4,4.65
400,5,4,4.61667
400,6,4,4.6
400,7,4,4.66667
400,8,4,4.61667
400,9,4,4.55
400,10,4,4.66667
400,11,4,4.7
400,12,4,4.63333
400,13,4,4.6
400,14,4,4.46667
400,15,4,4.55
400,16,4,4.43333
400,17,4,4.45
400,18,4,4.6
400,19,4,4.4
500,0,4,4.48333
500,1,4,4.41667
500,2,4,4.4
500,3,4,4.25
500,4,4,4.45
500,5,4,4.41667
500,6,4,4.53333
500,7,4,4.51667
500,8,4,4.38333
500,9,4,4.36667
500,10,4,4.51667
500,11,4,4.48333
500,12,4,4.43333
500,13,4,4.38333
500,14,4,4.38333
500,15,4,4.53333
500,16,4,4.43333
500,17,4,4.41667
500,18,4,4.46667
500,19,4,4.23333
600,0,4,4.36667
600,1,4,4.35
600,2,4,4.36667
600,3,4,4.05
600,4,4,4.48333
600,5,4,4.33333
600,6,4,4.45
600,7,4,4.41667
600,8,4,4.46667
600,9,4,4.26667
600,10,4,4.45
600,11,4,4.41667
600,12,4,4.4
600,13,4,4.41667
600,14,4,4.33333
600,15,4,4.46667
600,16,4,4.33333
600,17,4,4.25
600,18,4,4.45
600,19,4,4.18333
700,0,4,4.3
700,1,4,4.23333
700,2,4,4.36667
700,3,4,4.05
700,4,4,4.35
700,5,4,4.25
700,6,4,4.43333
700,7,4,4.4
700,8,4,4.35
700,9,4,4.31667
700,10,4,4.41667
700,11,4,4.3
700,12,4,4.33333
700,13,4,4.41667
700,14,4,4.31667
700,15,4,4.4
700,16,4,4.25
700,17,4,4.26667
700,18,4,4.31667
700,19,4,4.2
800,0,5,4.28333
800,1,4,4.13333
800,2,4,4.23333
800,3,4,3.8
800,4,5,4.28333
800,5,4,4.06667
800,6,4,4.25
800,7,4,4.26667
800,8,4,4.21667
800,9,5,4.13333
800,10,5,4.26667
800,11,4,4.25
800,12,4,4.21667
800,13,4,4.23333
800,14,4,4.11667
800,15,5,4.3
800,16,4,4.23333
800,17,4,4.11667
800,18,5,4.28333
800,19,4,3.96667
900,0,4,4.06667
900,1,5,4.05
900,2,4,4.15
900,3,4,3.76667
900,4,4,4.15
900,5,5,3.98333
900,6,4,4.13333
900,7,4,4.21667
900,8,4,4.06667
900,9,5,3.96667
900,10,5,4.11667
900,11,4,4.15
900,12,4,4.11667
900,13,4,4.23333
900,14,4,3.98333
900,15,4,4.08333
900,16,4,4.01667
900,17,4,3.96667
900,18,4,4.15
900,19,4,4.06667
1000,0,6,3.96667
1000,1,6,3.93333
1000,2,4,4
1000,3,6,3.55
1000,4,5,3.96667
1000,5,6,3.95
1000,6,6,3.96667
1000,7,5,3.95
1000,8,5,3.93333
1000,9,5,3.88333
1000,10,6,4.08333
1000,11,5,4.05
1000,12,5,3.95
1000,13,6,3.98333
1000,14,5,3.86667
1000,15,5,3.93333
1000,16,6,3.8
1000,17,6,3.86667
1000,18,4,3.86667
1000,19,5,3.83333
1100,0,6,3.91667
1100,1,6,3.95
1100,2,5,3.96667
1100,3,6,3.53333
1100,4,4,3.95
1100,5,5,3.86667
1100,6,6,3.98333
1100,7,6,4.01667
1100,8,6,3.91667
1100,9,6,3.98333
1100,10,5,4
1100,11,5,3.98333
1100,12,6,3.88333
1100,13,6,4
1100,14,5,3.86667
1100,15,5,3.96667
1100,16,6,3.76667
1100,17,4,3.76667
1100,18,5,3.86667
1100,19,6,3.8
1200,0,5,3.9
1200,1,6,3.83333
1200,2,6,3.85
1200,3,6,3.45
1200,4,6,3.81667
1200,5,6,3.78333
1200,6,6,3.8
1200,7,5,3.91667
1200,8,5,3.85
1200,9,6,3.81667
1200,10,6,3.88333
1200,11,5,3.91667
1200,12,5,3.83333
